full_name,age,birthday_GMT,league,position,Current Club,nationality,goals_overall,assists_overall,penalty_goals,yellow_cards_overall,red_cards_overall
Freddie Woodman,25,1997/03/04,Premier League,Goalkeeper,Newcastle United,England,0,0,0,0,0
Frederico Rodrigues Santos,29,1993/03/05,Premier League,Midfielder,Manchester United,Brazil,1,1,0,2,0
Gabriel Jesus,25,1997/04/03,Premier League,Forward,Manchester City,Brazil,7,3,1,1,0
GaÃ«tan Bong Songo,34,1988/04/25,Premier League,Defender,Brighton & Hove Albion,Cameroon,0,0,0,0,0
Gary Cahill,36,1985/12/19,Premier League,Defender,Chelsea,England,0,0,0,0,0
Gary Madine,32,1990/08/24,Premier League,Forward,Cardiff City,England,0,0,0,0,0
George Marsh,23,1998/11/05,Premier League,Midfielder,Tottenham Hotspur,England,0,0,0,0,0
Georges-Kevin N'Koudou Mbida,27,1995/02/13,Premier League,Forward,Tottenham Hotspur,France,0,1,0,0,0
Georginio Wijnaldum,31,1990/11/11,Premier League,Midfielder,Liverpool,Netherlands,3,0,0,3,0
Gerard Deulofeu,28,1994/03/13,Premier League,Forward,Watford,Spain,10,5,0,3,0
Glenn Murray,39,1983/09/25,Premier League,Forward,Brighton & Hove Albion,England,13,1,4,5,0
Gonzalo Higuain,34,1987/12/10,Premier League,Forward,Chelsea,Argentina,5,0,0,0,0
Grady Diangana,24,1998/04/19,Premier League,Midfielder,West Ham United,England,0,1,0,0,0
Granit Xhaka,30,1992/09/27,Premier League,Midfielder,Arsenal,Switzerland,4,2,0,10,0
Greg Cunningham,31,1991/01/31,Premier League,Defender,Cardiff City,Republic of Ireland,0,0,0,3,0
Gylfi Sigurdsson,33,1989/09/08,Premier League,Midfielder,Everton,Iceland,13,6,2,3,0
Hamza Choudhury,25,1997/10/01,Premier League,Midfielder,Leicester City,England,0,0,0,0,0
Harry Arter,32,1989/12/28,Premier League,Midfielder,Cardiff City,Republic of Ireland,0,1,0,10,0
Harry Kane,29,1993/07/28,Premier League,Forward,Tottenham Hotspur,England,17,4,4,5,0
Harry Maguire,29,1993/03/05,Premier League,Defender,Leicester City,England,3,0,0,7,1
Harry Winks,26,1996/02/02,Premier League,Midfielder,Tottenham Hotspur,England,1,0,0,4,0
Harvey Lewis Barnes,24,1997/12/09,Premier League,Midfielder,Leicester City,England,1,2,0,0,0
HÃ¥vard Nordtveit,32,1990/06/21,Premier League,Midfielder,Fulham,Norway,0,1,0,0,0
Hector Bellerin,27,1995/03/19,Premier League,Defender,Arsenal,Spain,0,5,0,3,0
HÃ©lder Wander Sousa Azevedo Costa,28,1994/01/12,Premier League,Midfielder,Wolverhampton Wanderers,Portugal,1,2,0,3,0
Henrikh Mkhitaryan,33,1989/01/21,Premier League,Midfielder,Arsenal,Armenia,6,4,0,1,0
Heung-Min Son,30,1992/07/08,Premier League,Forward,Tottenham Hotspur,South Korea,12,6,0,3,1
Heurelho da Silva Gomes,41,1981/02/15,Premier League,Goalkeeper,Watford,Brazil,0,0,0,0,0
Hugo Lloris,35,1986/12/26,Premier League,Goalkeeper,Tottenham Hotspur,France,0,0,0,0,0
Ibrahima CissÃ©,28,1994/02/28,Premier League,Midfielder,Fulham,Belgium,0,0,0,0,0
Idrissa Gana Gueye,33,1989/09/26,Premier League,Midfielder,Everton,Senegal,0,2,0,6,0
Ä°lkay GÃ¼ndoÄŸan,32,1990/10/24,Premier League,Midfielder,Manchester City,Germany,6,3,0,3,0
Isaac Ajayi Success,26,1996/01/07,Premier League,Forward,Watford,Nigeria,1,1,0,4,0
Isaac Hayden,27,1995/03/22,Premier League,Midfielder,Newcastle United,England,1,4,0,4,1
Isaac Mbenza,26,1996/03/08,Premier League,Forward,Huddersfield Town,Belgium,1,1,0,1,0
Issa Diop,25,1997/01/09,Premier League,Defender,West Ham United,France,1,0,0,4,0
Ivan Ricardo Neves Abreu Cavaleiro,29,1993/10/18,Premier League,Forward,Wolverhampton Wanderers,Portugal,3,1,0,1,0
Jack Cork,33,1989/06/25,Premier League,Midfielder,Burnley,England,1,2,0,6,0
Jack Simpson,25,1996/12/18,Premier League,Defender,AFC Bournemouth,England,0,0,0,0,0
